PRCE_REG_YMD,CTNP_NM,PDLT_NM,SPCS_NM,EXMN_SE_NM,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20150102,서울,단감,단감,소매,중품,5900.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,상품,9960.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,중품,7800.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150102,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,중품,7800.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,상품,9960.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,중품,5900.0,10.0,개,,20210607013535
20150105,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,중품,5900.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,상품,9960.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,중품,7800.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150106,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,중품,5900.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,상품,9960.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,중품,7800.0,10.0,개,,20210607013535
20150107,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,상품,5980.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,중품,4980.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,중품,7800.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150108,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,상품,5980.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,상품,9960.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150109,서울,단감,단감,소매,중품,7800.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,상품,5980.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,상품,9960.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150112,서울,단감,단감,소매,중품,7800.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,상품,5980.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,상품,9960.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150113,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,상품,5980.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,상품,9960.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,상품,8000.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,상품,7000.0,10.0,개,,20210607013535
20150114,서울,단감,단감,소매,중품,5000.0,10.0,개,,20210607013535
20150115,서울,단감,단감,소매,상품,5980.0,10.0,개,,20210607013535
20150115,서울,단감,단감,소매,중품,6000.0,10.0,개,,20210607013535
20150115,서울,단감,단감,소매,상품,10000.0,10.0,개,,20210607013535
