PRCE_REG_YMD,CTNP_NM,PDLT_NM,SPCS_NM,EXMN_SE_NM,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20150102,서울,사과,후지,소매,중품,13800.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,상품,20000.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,중품,13500.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,상품,20880.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,중품,15800.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,상품,21000.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,중품,16000.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,중품,18300.0,10.0,개,,20210607013535
20150102,서울,사과,후지,소매,상품,25000.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,상품,25000.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,중품,18300.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,상품,21000.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,중품,16000.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,상품,20880.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,중품,13500.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,상품,20000.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,중품,15800.0,10.0,개,,20210607013535
20150105,서울,사과,후지,소매,중품,13800.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,중품,13800.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,상품,20000.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,상품,20880.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,중품,15800.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,상품,21000.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,중품,16000.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,중품,18300.0,10.0,개,,20210607013535
20150106,서울,사과,후지,소매,상품,25000.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,상품,20000.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,중품,13800.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,상품,24220.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,상품,21000.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,중품,16000.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,중품,15800.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,중품,18300.0,10.0,개,,20210607013535
20150107,서울,사과,후지,소매,상품,25000.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,중품,15600.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,상품,20000.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,상품,24220.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,중품,15800.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,상품,21000.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,중품,16000.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,중품,18300.0,10.0,개,,20210607013535
20150108,서울,사과,후지,소매,상품,25000.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,중품,15600.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,상품,20000.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,상품,24220.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,상품,21000.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,중품,16000.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,중품,15800.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,상품,25000.0,10.0,개,,20210607013535
20150109,서울,사과,후지,소매,중품,18300.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,상품,20000.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,중품,15600.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,상품,24220.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,중품,15800.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,상품,21000.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,중품,16000.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,중품,18300.0,10.0,개,,20210607013535
20150112,서울,사과,후지,소매,상품,25000.0,10.0,개,,20210607013535
20150113,서울,사과,후지,소매,중품,15600.0,10.0,개,,20210607013535
20150113,서울,사과,후지,소매,상품,20000.0,10.0,개,,20210607013535
20150113,서울,사과,후지,소매,중품,15000.0,10.0,개,,20210607013535
