PRCE_REG_YMD,CTNP_NM,PDLT_NM,SPCS_NM,EXMN_SE_NM,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20150102,서울,시금치,시금치,소매,상품,3500.0,1.0,kg,,20210607013535
20150102,서울,시금치,시금치,소매,상품,4500.0,1.0,kg,,20210607013535
20150102,서울,시금치,시금치,소매,중품,4000.0,1.0,kg,,20210607013535
20150102,서울,시금치,시금치,소매,상품,8210.0,1.0,kg,,20210607013535
20150102,서울,시금치,시금치,소매,상품,5440.0,1.0,kg,,20210607013535
20150102,서울,시금치,시금치,소매,상품,5000.0,1.0,kg,,20210607013535
20150102,서울,시금치,시금치,소매,중품,4500.0,1.0,kg,,20210607013535
20150102,서울,시금치,시금치,소매,중품,3000.0,1.0,kg,,20210607013535
20150105,서울,시금치,시금치,소매,상품,5000.0,1.0,kg,,20210607013535
20150105,서울,시금치,시금치,소매,상품,3500.0,1.0,kg,,20210607013535
20150105,서울,시금치,시금치,소매,중품,3000.0,1.0,kg,,20210607013535
20150105,서울,시금치,시금치,소매,중품,4500.0,1.0,kg,,20210607013535
20150105,서울,시금치,시금치,소매,상품,8210.0,1.0,kg,,20210607013535
20150105,서울,시금치,시금치,소매,상품,5920.0,1.0,kg,,20210607013535
20150105,서울,시금치,시금치,소매,중품,4000.0,1.0,kg,,20210607013535
20150105,서울,시금치,시금치,소매,상품,5000.0,1.0,kg,,20210607013535
20150106,서울,시금치,시금치,소매,중품,4000.0,1.0,kg,,20210607013535
20150106,서울,시금치,시금치,소매,상품,5000.0,1.0,kg,,20210607013535
20150106,서울,시금치,시금치,소매,상품,7930.0,1.0,kg,,20210607013535
20150106,서울,시금치,시금치,소매,상품,5920.0,1.0,kg,,20210607013535
20150106,서울,시금치,시금치,소매,중품,3000.0,1.0,kg,,20210607013535
20150106,서울,시금치,시금치,소매,상품,6000.0,1.0,kg,,20210607013535
