PRCE_REG_YMD,CTNP_NM,PDLT_NM,SPCS_NM,EXMN_SE_NM,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20201123,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201123,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201123,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201123,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20201123,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201124,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201124,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201124,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20201124,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201124,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20201125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20201126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20201127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201130,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201130,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201130,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20201130,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20201130,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210104,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210104,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210104,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210104,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20210104,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210105,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210105,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210105,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210105,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20210105,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210106,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2390.0,1.0,봉,N,20240102062408
20210106,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210106,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210106,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210106,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2300.0,1.0,봉,N,20240102062408
20210107,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210107,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210107,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210107,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210107,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210108,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210108,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210108,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210108,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210108,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210111,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210111,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210111,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210111,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210111,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210112,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210112,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210112,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210112,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210112,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210113,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210113,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210113,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210113,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210113,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210114,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210114,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210114,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210114,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210114,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210115,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210115,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210115,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
